,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congreso | Octubre 1989 | Resultados por circunscripción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PARTIDO SOCIALISTA OBRERO ESPAÑOL,,PARTIDO POPULAR,,IZQUIERDA UNIDA,,CENTRO DEMOCRATICO Y SOCIAL,,CONVERGENCIA I UNIO,,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,,AGRUPACION RUIZ-MATEOS,,HERRI BATASUNA,,PARTIDO ANDALUCISTA,,LOS VERDES-LISTA VERDE,,UNIO VALENCIANA,,EUSKO ALKARTASUNA,,LOS VERDES ECOLOGISTAS,,EUSKADIKO EZKERRA,,PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA,,ESQUERRA REPUBLICANA DE CATALUNYA,,PARTIDO SOCIALISTA DE LOS TRABAJADORES,,PARTIDO ARAGONES REGIONALISTA,,AGRUPACIONES INDEPENDIENTES DE CANARIAS,,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,BLOQUE NACIONALISTA GALEGO,,COALICION GALEGA,,UNITAT DEL POBLE VALENCIA,,PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA,,ALTERNATIVA VERDA-MOVIMENT ECOLOG. DE CATALUNYA,,FALANGE ESPAÑOLA DE LAS J.O.N.S.,,ASAMBLEA CANARIA NACIONALISTA,,VERTICE ESPAÑOL REIVINDICAC. DESARROLLO ECOLOGICO,,COALICION SOCIALDEMOCRATA,,PARTIDO HUMANISTA,,PARTIDO NACIONALISTA GALEGO-PARTIDO GALEGUISTA,,ALIANZA POR LA REPUBLICA,,EXTREMADURA UNIDA,,COALICION ELECTORAL ESQUERRA NACIONALISTA,,PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA,,INDEPENDIENTES DE GRAN CANARIA,,PARTIU ASTURIANISTA,,UNIDAD CENTRISTA-P.E.D.,,FRENTE POPULAR GALEGA,,PARTIDO REGIONAL DE MADRID,,GRUPO DE RADICALES EN MADRID,,UNIDA NACIONALISTA ASTURIANA,,UNION ARAGONESISTA-CHUNTA ARAGONESISTA,,ESQUERRA NACIONALISTA VALENCIANA - URV,,PARTIDO REGIONALISTA DEL PAIS LEONES,,UNIO BALEAR,,PARTIDO CEUTA UNIDA,,SIETE ESTRELLAS VERDES,,MOVIMIENTO VERDE,,AGRUPACION CIUDADANA INDEPENDIENTE,,PARTIDO NACIONALISTA DE CASTILLA Y LEON,,COALICION ALICANTINISTA ALICANTON,,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA,,PARTIDO ECOLOGISTA DE EUSKADI (LISTA VERDE),,RADICALES POR CANTABRIA,,FALANGE ESPAÑOLA INDEPENDIENTE,,TAGOROR O ASAMBLEA CONEJERA DE LANZAROTE,,PARTIDO REGIONALISTA DE GUADALAJARA,,PARTIDO RADICAL BALEAR,,PARTIDO NACIONALISTA ESPAÑOL DE MELILLA,,PARTIDO PROVERISTA,,PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA),,COALICION ELECTORAL LKI-EMK,
,,,,,,,,,,,,,,,PSOE,,PP,,IU,,CDS,,CIU,,EAJ-PNV,,RUIZ-MATEOS,,HB,,PA,,LV-LV,,UV,,EA,,LVE,,EE,,PTE-UC,,ERC,,PST,,PAR,,AIC,,PCPE,,BNG,,CG,,UPV,,PSG-EG,,AV-MEC,,FE-JONS,,ACN,,VERDE,,CSD,,PH,,PNG-PG,,AR,,EX.U.,,PSM-ENE,,PORE,,IGC,,PAS,,PED,,FPG,,PAM,,GRM,,UNA,,UA-CH.A,,ENV-URV,,PREPAL,,UB,,CEU,,SEV,,MV,,ACI,,PANCAL,,COA,,ARDE,,PEE-(LV),,R. X C.,,FE (I),,TAGOROR,,PRGU,,PRB,,PNEM,,P.PR.,,PCE-(M.L.),,LKI-EMK,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Andalucía                     ,4,Almería                                           ,442.324,415,322.410,2.576,324.986,220.115,966,221.081,219.435,218.644,791,1.646,115.587,4,51.421,1,18.697,0,19.523,0,0,0,0,0,4.176,0,0,0,5.116,0,2.062,0,0,0,0,0,0,0,0,0,701,0,0,0,650,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,1.044.493,1.012,746.275,2.906,749.181,472.068,1.016,473.084,469.188,466.724,2.464,3.896,243.410,6,76.688,1,44.871,1,19.905,0,0,0,0,0,16.225,0,0,0,53.173,1,3.928,0,0,0,0,0,2.791,0,0,0,1.501,0,0,0,1.789,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,383,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,747.505,744,559.785,2.563,562.348,421.720,1.057,422.777,420.386,418.821,1.565,2.391,207.503,5,76.561,1,77.106,1,21.110,0,0,0,0,0,4.893,0,0,0,24.714,0,1.343,0,0,0,0,0,1.153,0,0,0,1.504,0,0,0,1.271,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,214,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,783.265,662,591.023,3.789,594.812,409.788,1.373,411.161,408.799,406.546,2.253,2.362,204.596,4,100.619,2,47.067,1,24.619,0,0,0,0,0,5.613,0,0,0,10.824,0,3.833,0,0,0,0,0,2.179,0,0,0,4.310,0,0,0,1.042,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,219,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,433.995,414,318.957,907,319.864,211.037,314,211.351,210.319,209.379,940,1.032,123.126,4,41.173,1,16.278,0,9.846,0,0,0,0,0,3.223,0,0,0,10.618,0,1.096,0,0,0,0,0,1.157,0,0,0,998,0,0,0,1.148,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,646.849,667,480.628,1.217,481.845,367.772,453,368.225,365.367,364.196,1.171,2.858,197.733,4,88.906,2,42.112,0,17.576,0,0,0,0,0,2.540,0,0,0,9.010,0,1.369,0,0,0,0,0,1.231,0,0,0,777,0,0,0,1.139,0,0,0,0,0,1.089,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,166,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,1.150.434,947,779.421,4.048,783.469,511.631,1.926,513.557,510.152,508.045,2.107,3.405,263.147,7,99.352,2,69.522,1,28.434,0,0,0,0,0,6.783,0,0,0,26.201,0,3.790,0,0,0,0,0,4.739,0,0,0,1.652,0,0,0,1.987,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,351,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1.540.907,1.670,1.138.913,3.377,1.142.290,815.194,1.324,816.518,810.000,805.917,4.083,6.518,438.615,8,153.905,2,93.080,1,18.420,0,0,0,0,0,8.163,0,0,0,73.031,1,4.823,0,0,0,0,0,2.474,0,0,0,6.277,0,0,0,1.830,0,0,0,0,0,1.760,0,0,0,0,0,0,0,0,0,0,0,798,0,0,0,1.436,0,0,0,484,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0
